# list1_substellar: Gaia Wobble Bet, list built from MANIFEST 0.19
# date 2026-09-25
# git 3e128b1bfb6307d10ea729ae131533238e9160dd
# population: Gaia DR3, parallax_over_error >= 10, 2234316 candidate stars
# score: P_A (an ordering score, not a calibrated probability)
# rank_new skips known DR3 orbit <80 MJ, known planets and Gaia neighbours within 2.0 arcsec
# the frozen bet is rank_new <= 100
rank_new,source_id,score,p_a,p_m2_lt13,rank_raw,ms_offset,known_dr3_orbit80,known_dr3_orbit_any,dr3_acceleration,known_planet,neighbour_2arcsec
169,6730934796246420608,0.76528204,0.76528204,1,243,0.727386,False,False,False,False,False
170,3677294137763998720,0.76485763,0.76485763,0.2,247,0.554689,False,False,False,False,False
171,531859307941994240,0.76482654,0.76482654,1,248,0.299027,False,False,False,False,False
172,291823000331257472,0.7648171,0.7648171,0.36,249,0.425092,False,False,True,False,False
173,5060587895604134912,0.76481333,0.76481333,1,250,0.188375,False,False,False,False,False
174,4942988873540841472,0.76458047,0.76458047,0.08,252,0.605201,False,False,False,False,False
175,4823217388300522240,0.76454726,0.76454726,0.52,253,-0.142087,False,False,False,False,False
176,1518564478676515712,0.76453949,0.76453949,1,254,-0.098186,False,False,False,False,False
177,5131300889999108608,0.76450075,0.76450075,0.12,255,0.13312,False,False,False,False,False
178,1695612548265370112,0.76447052,0.76447052,0.2,256,0.521765,False,False,True,False,False
179,3675402664231148800,0.76442716,0.76442716,0.24,258,0.678343,False,False,False,False,False
180,5248688737121356928,0.76433411,0.76433411,0.12,259,0.600435,False,False,True,False,False
181,1241288949189601920,0.76418439,0.76418439,0.6,260,0.992845,False,False,False,False,False
182,3787807941257493760,0.76415867,0.76415867,0.52,261,-0.375185,False,False,False,False,False
183,5291028284200511872,0.76406661,0.76406661,1,262,0.523775,False,False,False,False,False
184,5935904773205046912,0.76386252,0.76386252,1,264,-0.155127,False,False,False,False,False
185,2961304432185419776,0.76377701,0.76377701,0.68,265,0.393042,False,False,False,False,False
186,5059742920918097408,0.76368252,0.76368252,0.48,266,0.222947,False,False,False,False,False
187,2393981033822828672,0.76361527,0.76361527,0.52,267,0.062358,False,False,False,False,False
188,1811095697641932288,0.76359661,0.76359661,0.64,268,0.245808,False,False,False,False,False
189,1738837751967561856,0.76342383,0.76342383,0.36,269,0.084289,False,False,True,False,False
190,4339994569198556160,0.7633611,0.7633611,0.48,271,0.210323,False,False,False,False,False
191,6165896320478940672,0.76289434,0.76289434,0.6,274,0.830978,False,False,False,False,False
192,1496886026388040960,0.76287672,0.76287672,0.28,275,0.650743,False,False,True,False,False
193,2411785356892107520,0.76287151,0.76287151,0.4,276,-0.048259,False,False,True,False,False
194,658854172256346752,0.76285526,0.76285526,0.64,277,0.53044,False,False,True,False,False
195,2319145042621371520,0.76285148,0.76285148,0.52,278,-0.213116,False,False,False,False,False
196,5224423958599357952,0.76272945,0.76272945,0.36,280,-0.04873,False,False,True,False,False
197,2099371978408013440,0.76262578,0.76262578,1,282,0.786752,False,False,False,False,False
198,166847938875752064,0.76249244,0.76249244,0.32,284,0.918816,False,False,False,False,False
199,514756164061068800,0.76247255,0.76247255,0.08,285,0.95627,False,False,True,False,False
200,6351067685053974912,0.76246926,0.76246926,0.56,286,0.677348,False,False,False,False,False
201,5338871638612709120,0.76232542,0.76232542,0.72,287,0.669361,False,False,False,False,False
202,581780606171000320,0.76230753,0.76230753,0.16,288,0.459454,False,False,False,False,False
203,1860959099727607808,0.76228748,0.76228748,0,289,0.995801,False,False,False,False,False
204,4673419614894167808,0.76222545,0.76222545,0.48,291,0.644041,False,False,False,False,False
205,6633587335252126976,0.76218414,0.76218414,0.28,292,0.3754,False,False,False,False,False
206,2838893019525068160,0.76214503,0.76214503,0.56,293,0.828442,False,False,False,False,False
207,5770356083360945152,0.76205925,0.76205925,0,294,0.518935,False,False,False,False,False
208,1040020803104475520,0.76204648,0.76204648,0.44,296,0.680631,False,True,False,False,False
209,1182978514674919040,0.7620083,0.7620083,0.44,297,0.788278,False,False,False,False,False
210,3669916071144145920,0.76188735,0.76188735,1,298,0.399599,False,False,False,False,False
211,3421110024436800128,0.76177987,0.76177987,0.68,300,0.842244,False,False,False,False,False
212,5823916009197826304,0.76171204,0.76171204,0.12,301,-0.16502,False,False,False,False,False
213,362091963829100672,0.7615192,0.7615192,1,302,0.591435,False,False,False,False,False
214,5027182086653030016,0.76136302,0.76136302,0.2,304,-0.114283,False,True,False,False,False
215,3489833143305379072,0.76128355,0.76128355,0.28,305,0.875918,False,False,False,False,False
216,5522879208777731200,0.76127908,0.76127908,1,306,0.898494,False,True,False,False,False
217,1138493614244173184,0.76121831,0.76121831,0,307,0.977042,False,False,False,False,False
218,2503539945827393280,0.76113495,0.76113495,0.08,308,-0.200275,False,False,False,False,False
219,779689533779300736,0.76111453,0.76111453,0.44,309,-0.192168,False,False,False,False,False
220,5631304902248610432,0.7610294,0.7610294,0.88,311,0.050709,False,False,False,False,False
221,1390976698417570688,0.76101289,0.76101289,0.76,312,0.206807,False,False,False,False,False
222,2004525322268425216,0.76098755,0.76098755,0.44,314,-0.244283,False,False,True,False,False
223,6585200714731502336,0.76078279,0.76078279,0.16,316,-0.122165,False,False,False,False,False
224,6596348938000227840,0.76066018,0.76066018,0.28,317,0.199098,False,False,False,False,False
225,660597997697274752,0.76039133,0.76039133,1,320,0.013198,False,False,False,False,False
226,652108290463265408,0.7600173,0.7600173,0.16,322,0.142444,False,False,False,False,False
227,5512265038913877248,0.75998378,0.75998378,1,323,-0.048061,False,False,False,False,False
228,5036507422723589248,0.75996548,0.75996548,0.56,324,0.878716,False,False,False,False,False
229,5495961824092034176,0.7599593,0.7599593,0.44,325,0.90992,False,False,False,False,False
230,4432562246982471168,0.75977826,0.75977826,0.36,326,0.23465,False,False,False,False,False
231,2768076567955118976,0.75967785,0.75967785,0.56,327,0.366954,False,False,False,False,False
232,3579780822319184384,0.75967666,0.75967666,0.28,328,-0.021137,False,False,False,False,False
233,3924505377215943040,0.75960449,0.75960449,0.44,330,-0.011209,False,False,False,False,False
234,6158476403698590464,0.75956981,0.75956981,0.64,331,0.913449,False,False,False,False,False
235,1501656395023984640,0.75955716,0.75955716,0.8,332,0.536542,False,False,False,False,False
236,1706538326591678848,0.75947887,0.75947887,0.08,333,0.457066,False,True,False,False,False
237,3740123221472603520,0.75947552,0.75947552,0.2,334,0.116807,False,False,False,False,False
238,499842353970836096,0.75929273,0.75929273,0.56,336,0.844573,False,False,True,False,False
239,3649569711551374464,0.75918521,0.75918521,0.04,337,0.852721,False,False,True,False,False
240,6157539722871359104,0.75914764,0.75914764,0.56,338,-0.034137,False,False,False,False,False
241,3756300782728581120,0.75907947,0.75907947,0.36,339,0.431663,False,False,False,False,False
242,5103774994355594368,0.75905424,0.75905424,1,340,0.432731,False,False,False,False,False
243,6358221107704176896,0.7588958,0.7588958,0.52,341,0.534837,False,False,False,False,False
244,6879801729975499904,0.7587246,0.7587246,0.8,342,0.661403,False,False,False,False,False
245,1223018673709801984,0.75857553,0.75857553,0.24,345,-0.326437,False,False,True,False,False
246,1158838771245845632,0.75853075,0.75853075,0.08,346,-0.311585,False,False,False,False,False
247,6439469515144942976,0.75848182,0.75848182,0.12,347,0.992566,False,False,False,False,False
248,1603438942321515264,0.75830725,0.75830725,0.04,349,-0.475946,False,False,False,False,False
249,4556514419033485696,0.75824274,0.75824274,0.52,350,0.496016,False,False,False,False,False
250,5824033382065046400,0.75814279,0.75814279,0.2,351,-0.231236,False,False,False,False,False
251,3321515780156926336,0.75799053,0.75799053,0.28,353,0.588697,False,False,False,False,False
252,3492511244392921216,0.7579632,0.7579632,0.16,354,0.726432,False,False,False,False,False
253,615779464207025152,0.75781565,0.75781565,1,355,-0.036654,False,False,False,False,False
